Monitoring heap for 1440 min (poll every 10s) — device 192.168.1.171
  Time    heap_free     heap_min    delta    fps   temp
------------------------------------------------------------
    0s      4212752      4193452       +0    0.0  23.6°C
   10s      4213024      4193452     +272    0.0  27.5°C
   20s      4211132      4193452    -1892    0.0  25.7°C
   30s      4208872      4193452    -2260    0.0  23.4°C
   40s      4206252      4193452    -2620    0.0  26.6°C
   50s      4219160      4193452   +12908    0.0  25.9°C
   60s      4220496      4193452    +1336    0.0  25.3°C
   70s      4212484      4193452    -8012    0.0  23.9°C
   80s      4210928      4193452    -1556    0.0  25.8°C
   90s      4210716      4193452     -212    0.0  22.5°C
  100s      4210716      4193452       +0    0.0  26.4°C
  110s      4217192      4193452    +6476    0.0  23.3°C
  121s      4209168      4193452    -8024    0.0  25.6°C
  131s      4209156      4193452      -12    0.0  26.0°C
  141s      4215916      4193452    +6760    0.0  26.1°C
  151s      4223388      4193452    +7472    0.0  24.3°C
  161s      4218960      4193452    -4428    0.0  25.9°C
  171s      4215756      4193452    -3204    0.0  27.1°C
  181s      4217612      4193452    +1856    0.0  23.1°C
  191s      4209116      4193452    -8496    0.0  27.2°C
  201s      4219180      4193452   +10064    0.0  27.4°C
  211s      4207408      4193452   -11772    0.0  28.0°C
  221s      4215824      4193452    +8416    0.0  22.2°C
  232s      4210756      4193452    -5068    0.0  25.5°C
  [poll error: ]
  257s      4211980      4210464    +1224    0.0  25.1°C
  268s      4213116      4206812    +1136    0.0  22.9°C
  278s      4212876      4203392     -240    0.0  24.5°C
  288s      4225804      4203392   +12928    0.0  26.4°C
  298s      4216324      4203392    -9480    0.0  27.3°C
  308s      4213380      4203392    -2944    0.0  27.0°C
  318s      4209940      4192464    -3440    0.0  24.6°C
  328s      4206764      4192464    -3176    0.0  24.1°C
  338s      4219376      4192464   +12612    0.0  27.9°C
  349s      4219564      4191544     +188    0.0  25.6°C
  359s      4210908      4191544    -8656    0.0  26.2°C
  369s      4209304      4191544    -1604    0.0  22.3°C
  379s      4212496      4191544    +3192    0.0  26.4°C
  389s      4212668      4191544     +172    0.0  24.6°C
  399s      4211144      4191544    -1524    0.0  26.6°C
  409s      4212516      4191544    +1372    0.0  24.0°C
  419s      4212900      4191544     +384    0.0  24.1°C
  430s      4209968      4191248    -2932    0.0  27.9°C
  440s      4207612      4191248    -2356    0.0  23.9°C
  450s      4209168      4191248    +1556    0.0  23.7°C
  460s      4209276      4191248     +108    0.0  25.8°C
  470s      4209676      4191248     +400    0.0  25.9°C
  480s      4208008      4191248    -1668    0.0  23.7°C
  490s      4208840      4191248     +832    0.0  24.0°C
  500s      4211056      4191248    +2216    0.0  26.7°C
  510s      4205496      4191248    -5560    0.0  25.7°C
  520s      4207556      4191212    +2060    0.0  24.4°C
  530s      4212288      4191212    +4732    0.0  27.4°C
  540s      4212480      4189316     +192    0.0  27.8°C
  550s      4209356      4189316    -3124    0.0  24.5°C
  561s      4212600      4189316    +3244    0.0  26.0°C
  571s      4212668      4189316      +68    0.0  22.3°C
  581s      4214140      4189316    +1472    0.0  27.5°C
  591s      4210740      4189316    -3400    0.0  27.3°C
  601s      4202608      4189316    -8132    0.0  24.2°C
  611s      4210324      4189316    +7716    0.0  23.8°C
  621s      4217820      4189316    +7496    0.0  25.1°C
  631s      4213032      4189316    -4788    0.0  26.4°C
  641s      4208024      4189316    -5008    0.0  26.3°C
  651s      4206352      4189316    -1672    0.0  27.3°C
  661s      4210020      4189316    +3668    0.0  25.7°C
  671s      4209480      4189316     -540    0.0  23.6°C
  681s      4191240      4189316   -18240    0.0  28.0°C
  691s      4211564      4187476   +20324    0.0  23.6°C
  701s      4214688      4187476    +3124    0.0  24.3°C
  712s      4214492      4187476     -196    0.0  24.1°C
